389,12 Angry Men
76203,12 Years a Slave
530915,1917
62,2001: A Space Odyssey
342737,20th Century Women
64688,21 Jump Street
187017,22 Jump Street
170,28 Days Later
1271,300
53182,300: Rise of an Empire
65,8 Mile
9487,A Bug's Life
185,A Clockwork Orange
530,A Grand Day Out
23437,A Nightmare on Elm Street
377,A Nightmare on Elm Street
447332,A Quiet Place
813,Airplane!
348,Alien
20856,Aliens in the Attic
399579,Alita: Battle Angel
279,Amadeus
337170,American Made
190859,American Sniper
194,Amélie
109443,Anchorman 2: The Legend Continues
8699,Anchorman: The Legend of Ron Burgundy
300668,Annihilation
102899,Ant-Man
17609,Antichrist
50357,Apollo 18
329865,Arrival
19995,Avatar
299534,Avengers: Endgame
299536,Avengers: Infinity War
339403,Baby Driver
272,Batman Begins
5559,Bee Movie
4011,Beetlejuice
587,Big Fish
177572,Big Hero 6
194662,Birdman or (The Unexpected Virtue of Ignorance)
284054,Black Panther
78,Blade Runner
335984,Blade Runner 2049
1372,Blood Diamond
793,Blue Velvet
424694,Bohemian Rhapsody
13685,Bottle Rocket
20770,But I'm a Cheerleader
334533,Captain Fantastic
299537,Captain Marvel
109424,Captain Phillips
920,Cars
198184,Chappie
118,Charlie and the Chocolate Factory
212778,Chef
9982,Chicken Little
7443,Chicken Run
10585,Child's Play
598,City of God
83542,Cloud Atlas
9603,Clueless
39538,Contagion
14836,Coraline
3933,Corpse Bride
471707,Corpus Christi
250574,Creep
293660,Deadpool
383498,Deadpool 2
60666,Death of a Cheerleader
574152,Death of a Cheerleader
17654,District 9
68718,Django Unchained
141,Donnie Darko
49049,Dredd
374720,Dunkirk
137113,Edge of Tomorrow
264660,Ex Machina
532908,Fahrenheit 11-9
10315,Fantastic Mr. Fox
275,Fargo
550,Fight Club
9532,Final Destination
9358,Final Destination 2
9286,Final Destination 3
55779,Final Destination 5
127380,Finding Dory
12,Finding Nemo
369972,First Man
359724,Ford v Ferrari
13,Forrest Gump
109445,Frozen
782,Gattaca
419430,Get Out
315837,Ghost in the Shell
620,Ghostbusters
98,Gladiator
12477,Grave of the Fireflies
76826,Grave of the Fireflies
313922,Green Room
542224,Gretel & Hansel
118340,Guardians of the Galaxy
283995,Guardians of the Galaxy Vol. 2
440021,Happy Death Day
672,Harry Potter and the Chamber of Secrets
671,Harry Potter and the Philosopher's Stone
673,Harry Potter and the Prisoner of Azkaban
493922,Hereditary
4638,Hot Fuzz
10191,How to Train Your Dragon
82702,How to Train Your Dragon 2
4935,Howl's Moving Castle
27205,Inception
260513,Incredibles 2
16869,Inglourious Basterds
157336,Interstellar
5915,Into the Wild
1726,Iron Man
10138,Iron Man 2
68721,Iron Man 3
399174,Isle of Dogs
346364,It
270303,It Follows
578,Jaws
245891,John Wick
324552,John Wick: Chapter 2
458156,John Wick: Chapter 3 - Parabellum
515001,Jojo Rabbit
475557,Joker
8844,Jumanji
8247,Jumper
76757,Jupiter Ascending
135397,Jurassic World
351286,Jurassic World: Fallen Kingdom
24,Kill Bill: Vol. 1
393,Kill Bill: Vol. 2
343668,Kingsman: The Golden Circle
207703,Kingsman: The Secret Service
546554,Knives Out
293167,Kong: Skull Island
10340,Lady and the Tramp
410117,Lady Macbeth
41216,Legend of the Guardians: The Owls of Ga'Hoole
21316,Leroy & Stitch
127962,Leviathan
87827,Life of Pi
11544,Lilo & Stitch
4515,Lions for Lambs
331482,Little Women
70447,Louisiana Story
200727,"Love, Rosie"
101,Léon: The Professional
76341,Mad Max: Fury Road
102651,Maleficent
492188,Marriage Story
59436,Midnight in Paris
530385,Midsommar
283366,Miss Peregrine's Home for Peculiar Children
9297,Monster House
62211,Monsters University
15512,Monsters vs Aliens
585,"Monsters, Inc."
376867,Moonlight
58224,Mr. Popper's Penguins
8346,My Big Fat Greek Wedding
302688,My Big Fat Greek Wedding 2
8392,My Neighbor Totoro
129670,Nebraska
6977,No Country for Old Men
466272,Once Upon a Time… in Hollywood
7484,Open Season
7518,Over the Hedge
68726,Pacific Rim
1417,Pan's Labyrinth
496243,Parasite
609,Poltergeist
15283,Pom Poko
57214,Project X
70981,Prometheus
680,Pulp Fiction
2062,Ratatouille
393519,Raw
333339,Ready Player One
500,Reservoir Dogs
1892,Return of the Jedi
81188,Rise of the Guardians
504608,Rocketman
1374,Rocky IV
330459,Rogue One: A Star Wars Story
426426,Roma
264644,Room
2109,Rush Hour
223702,Sausage Party
4247,Scary Movie
4248,Scary Movie 2
22538,Scott Pilgrim vs. the World
807,Se7en
13260,Semi-Pro
65055,Shark Night 3D
747,Shaun of the Dead
287947,Shazam!
169813,Short Term 12
82693,Silver Linings Playbook
2300,Space Jam
557,Spider-Man
558,Spider-Man 2
315635,Spider-Man: Homecoming
324857,Spider-Man: Into the Spider-Verse
129,Spirited Away
235,Stand by Me
11,Star Wars
1893,Star Wars: Episode I - The Phantom Menace
1894,Star Wars: Episode II - Attack of the Clones
1895,Star Wars: Episode III - Revenge of the Sith
140607,Star Wars: The Force Awakens
181808,Star Wars: The Last Jedi
12133,Step Brothers
8363,Superbad
9408,Surf's Up
103,Taxi Driver
72105,Ted
214756,Ted 2
2907,The Addams Family
24428,The Avengers
242224,The Babadook
537996,The Ballad of Buster Scruggs
571,The Birds
339408,The Birth of a Nation
22970,The Cabin in the Woods
632023,The College Admissions Scandal
155,The Dark Knight
49026,The Dark Knight Rises
353491,The Dark Tower
402897,The Death of Stalin
1891,The Empire Strikes Back
4498,The Executioner
9552,The Exorcist
375262,The Favourite
18,The Fifth Element
19912,The Final Destination
329440,The Forest
24253,The Girl Who Played with Fire
65754,The Girl with the Dragon Tattoo
120467,The Grand Budapest Hotel
64682,The Great Gatsby
75174,The Grey
131631,The Hunger Games: Mockingjay - Part 1
1724,The Incredible Hulk
9806,The Incredibles
398978,The Irishman
278927,The Jungle Book
9325,The Jungle Book
492565,The Kid
137106,The Lego Movie
280217,The Lego Movie 2: The Second Part
503919,The Lighthouse
8587,The Lion King
420818,The Lion King
120,The Lord of the Rings: The Fellowship of the Ring
122,The Lord of the Rings: The Return of the King
121,The Lord of the Rings: The Two Towers
203801,The Man from U.N.C.L.E.
286217,The Martian
603,The Matrix
604,The Matrix Reloaded
605,The Matrix Revolutions
504172,The Mule
9479,The Nightmare Before Christmas
615,The Passion of the Christ
2493,The Princess Bride
281957,The Revenant
17473,The Room
9428,The Royal Tenenbaums
116745,The Secret Life of Walter Mitty
399055,The Shape of Water
694,The Shining
274,The Silence of the Lambs
37165,The Truman Show
551332,The Two Popes
310131,The Witch
106646,The Wolf of Wall Street
7345,There Will Be Blood
11031,This Is Spinal Tap
10195,Thor
284053,Thor: Ragnarok
359940,"Three Billboards Outside Ebbing, Missouri"
597,Titanic
862,Toy Story
863,Toy Story 2
10193,Toy Story 3
38368,Uncle Boonmee Who Can Recall His Past Lives
473033,Uncut Gems
97370,Under the Skin
14160,Up
500664,Upgrade
458723,Us
533,Wallace & Gromit: The Curse of the Were-Rabbit
10681,WALL-E
308266,War Dogs
860,WarGames
244786,Whiplash
12153,White Chicks
252,Willy Wonka & the Chocolate Factory
72190,World War Z
515195,Yesterday
9398,Zoolander
329833,Zoolander 2
269149,Zootopia
